A080814 | A130249 | 0.0833333333333333 | 8
A080814 | A130256 | 0.0740740740740741 | 7
A084231 | A020725 | 0.852272727272727 | 75
A084231 | A130249 | 0.0782608695652174 | 8
A084231 | A130256 | 0.0695652173913043 | 7
A018252 | A007917 | 0.528571428571429 | 73
A018252 | A169682 | 0.285714285714286 | 37
A018252 | A000040 | 0.723577235772358 | 88
A070089 | A070087 | 0.967213114754098 | 117
A058943 | A070941 | 0.0666666666666667 | 8
A058943 | A070939 | 0.053030303030303 | 7
A058943 | A130255 | 0.047244094488189 | 6
A058943 | A000523 | 0.053030303030303 | 6
A058943 | A130260 | 0.0546875 | 6
A058943 | A029837 | 0.0606060606060606 | 7
A058943 | A040000 | 0.0151515151515152 | 2
A058943 | A130259 | 0.046875 | 5
A058943 | A103586 | 0.0551181102362205 | 7
A058943 | A206244 | 0.0707964601769911 | 8
A058943 | A132090 | 0.0833333333333333 | 9
A058943 | A048766 | 0.0378787878787879 | 4
A058943 | A055642 | 0.0225563909774436 | 3
A052224 | A137588 | 0.107142857142857 | 14
A052224 | A002024 | 0.0942028985507246 | 13
A052224 | A000196 | 0.0705128205128205 | 10
A052224 | A059995 | 0.0700636942675159 | 10
A052224 | A070941 | 0.054421768707483 | 8
A052224 | A070939 | 0.0440251572327044 | 7
A052224 | A091194 | 0.142857142857143 | 18
A052224 | A130255 | 0.038961038961039 | 6
A052224 | A000523 | 0.0440251572327044 | 6
A052224 | A038567 | 0.121212121212121 | 16
A052224 | A130260 | 0.0451612903225806 | 6
A052224 | A003056 | 0.0962962962962963 | 12
A052224 | A029837 | 0.050314465408805 | 7
A052224 | A040000 | 0.0125786163522013 | 2
A052224 | A138194 | 0.0902777777777778 | 13
A052224 | A130259 | 0.0387096774193548 | 5
A052224 | A103586 | 0.0454545454545455 | 7
A052224 | A005041 | 0.143939393939394 | 18
A052224 | A206244 | 0.0571428571428571 | 8
A052224 | A132090 | 0.0628930817610063 | 9
A052224 | A048766 | 0.0314465408805031 | 4
A052224 | A002266 | 0.124087591240876 | 16
A052224 | A000194 | 0.0657894736842105 | 10
A052224 | A055642 | 0.01875 | 3
A017113 | A040000 | 0.0121951219512195 | 2
A017113 | A055642 | 0.0242424242424242 | 3
A007245 | A020725 | 0.789473684210526 | 75
A007245 | A130249 | 0.0737704918032787 | 8
A007245 | A130256 | 0.0655737704918033 | 7
A033547 | A113311 | 0.0333333333333333 | 4
A060544 | A130249 | 0.0612244897959184 | 8
A060544 | A130256 | 0.054421768707483 | 7
A006037 | A137588 | 0.12396694214876 | 14
A006037 | A065515 | 0.287037037037037 | 31
A006037 | A002024 | 0.109243697478992 | 13
A006037 | A013928 | 0.432432432432432 | 47
A006037 | A061017 | 0.214285714285714 | 24
A006037 | A002264 | 0.234234234234234 | 25
A006037 | A000720 | 0.194690265486726 | 21
A006037 | A000196 | 0.0802919708029197 | 10
A006037 | A065855 | 0.490909090909091 | 53
A006037 | A059995 | 0.0797101449275362 | 10
A006037 | A070941 | 0.0625 | 8
A006037 | A199332 | 0.368932038834951 | 38
A006037 | A070939 | 0.05 | 7
A006037 | A091194 | 0.15702479338843 | 18
A006037 | A130255 | 0.0444444444444444 | 6
A006037 | A000523 | 0.05 | 6
A006037 | A038567 | 0.141592920353982 | 16
A006037 | A130260 | 0.0514705882352941 | 6
A006037 | A003056 | 0.112068965517241 | 12
A006037 | A029837 | 0.0571428571428571 | 7
A006037 | A004001 | 0.381818181818182 | 42
A006037 | A040000 | 0.0142857142857143 | 2
A006037 | A156077 | 0.342342342342342 | 38
A006037 | A138194 | 0.104 | 13
