A080814 | A060455 | 0T | 0.194444444444444 | 0
A080814 | A172033 | 0T | 0.102941176470588 | 0
A080814 | A005708 | 0T | 0.12962962962963 | 0
A080814 | A058364 | 0T | 0.132075471698113 | 0
A080814 | A000383 | 0T | 0.189189189189189 | 0
A080814 | A005710 | 0T | 0.125 | 0
A080814 | A058366 | 0T | 0.14 | 0
A080814 | A206244 | 0T | 0.0813953488372093 | 0
A080814 | A005709 | 0T | 0.142857142857143 | 0
A080814 | A055642 | 0T | 0.0660377358490566 | 0
A080814 | A048766 | PM | 0.0666666666666667 | 0
A080814 | A058365 | 0T | 0.137254901960784 | 0
A000124 | A002024 | 0T | 0.630952380952381 | 0
A131284 | A091194 | PM | 0.0581395348837209 | 0
A131284 | A110533 | PM | 0.0793650793650794 | 0
A131284 | A054360 | PM | 0.2 | 0
A131284 | A001419 | PM | 0.192307692307692 | 0
A131284 | A002266 | PM | 0.0602409638554217 | 0
A131284 | A059995 | PM | 0.0485436893203883 | 0
A094268 | A000055 | PM | 0.108108108108108 | 0
A094268 | A118301 | PM | 0.0689655172413793 | 0
A094268 | A000048 | PM | 0.105263157894737 | 0
A094268 | A000628 | PM | 0.102564102564103 | 0
A094268 | A000322 | PM | 0.114285714285714 | 0
A094268 | A060455 | PM | 0.111111111111111 | 0
A094268 | A058367 | PM | 0.0816326530612245 | 0
A094268 | A007827 | PM | 0.133333333333333 | 0
A094268 | A008282 | PM | 0.0851063829787234 | 0
A094268 | A006206 | PM | 0.0952380952380952 | 0
A094268 | A172033 | PM | 0.0588235294117647 | 0
A094268 | A005708 | PM | 0.0740740740740741 | 0
A094268 | A003269 | 0F | 0.0816326530612245 | 0
A094268 | A006966 | PM | 0.2 | 0
A094268 | A006982 | PM | 0.08 | 0
A094268 | A000602 | PM | 0.121212121212121 | 0
A094268 | A187243 | PM | 0.05 | 0
A094268 | A058364 | PM | 0.0754716981132075 | 0
A094268 | A000383 | PM | 0.108108108108108 | 0
A094268 | A005710 | PM | 0.0714285714285714 | 0
A094268 | A034886 | PM | 0.0555555555555556 | 0
A094268 | A190718 | PM | 0.0769230769230769 | 0
A094268 | A058366 | PM | 0.08 | 0
A094268 | A206244 | PM | 0.0465116279069767 | 0
A094268 | A000288 | PM | 0.114285714285714 | 0
A094268 | A038503 | PM | 0.121212121212121 | 0
A094268 | A005709 | PM | 0.0816326530612245 | 0
A094268 | A068980 | PM | 0.0563380281690141 | 0
A094268 | A055642 | PM | 0.0377358490566038 | 0
A094268 | A048766 | 0F | 0.0380952380952381 | 0
A094268 | A137588 | 0F | 0.0465116279069767 | 0
A094268 | A058365 | PM | 0.0784313725490196 | 0
A094268 | A058368 | PM | 0.0869565217391304 | 0
A094268 | A003520 | PM | 0.0784313725490196 | 0
A094268 | A139398 | PM | 0.111111111111111 | 0
A094268 | A006981 | PM | 0.16 | 0
A094268 | A026838 | 0F | 0.0740740740740741 | 0
A003095 | A103586 | PM | 0.11 | 0
A127955 | A091194 | PM | 0.116279069767442 | 0
A127955 | A059995 | PM | 0.0970873786407767 | 0
A225186 | A091194 | PM | 0.186046511627907 | 0
A053657 | A040000 | 0T | 0.161904761904762 | 0
A008859 | A029837 | PM | 0.342857142857143 | 0.794326241134752
A001110 | A040000 | PM | 0.152380952380952 | 0
A002024 | A000217 | PM | 0.240740740740741 | 0.702898550724638
A135650 | A091194 | PM | 0.0813953488372093 | 0
A135650 | A059995 | PM | 0.0679611650485437 | 0
A084329 | A040000 | PM | 0.161904761904762 | 0
A127961 | A055642 | 0T | 0.141509433962264 | 0
A025739 | A002024 | 0T | 0.654761904761905 | 0
A001906 | A130260 | 0F | 0.306930693069307 | 0
A122216 | A130260 | PM | 0.0891089108910891 | 0
A013928 | A005117 | PM | 0.661971830985916 | 0.836734693877551
A061017 | A006218 | PM | 0.4 | 0.737226277372263
A216345 | A156253 | 0T | 0.932432432432432 | 0
A153318 | A055642 | 0T | 0.188679245283019 | 0
A000460 | A055642 | 0T | 0.216981132075472 | 0
A000096 | A003056 | 0F | 0.728395061728395 | 0
A064108 | A040000 | PM | 0.161904761904762 | 0
A002281 | A048766 | 0F | 0.19047619047619 | 0
A127235 | A000196 | PM | 0.0686274509803922 | 0
A127235 | A138194 | 0T | 0.0777777777777778 | 0
A091406 | A206244 | 0T | 0.127906976744186 | 0
A091406 | A055642 | 0T | 0.10377358490566 | 0
A001045 | A130253 | PM | 0.35 | 0.807407407407407
A001045 | A130250 | 0F | 0.346534653465347 | 0
A100706 | A206244 | 0T | 0.13953488372093 | 0
A127962 | A091194 | PM | 0.104651162790698 | 0
A127962 | A059995 | PM | 0.087378640776699 | 0
A062838 | A048766 | PM | 0.371428571428571 | 0
A122367 | A130255 | 0T | 0.28 | 0
A055588 | A130260 | PM | 0.277227722772277 | 0.829457364341085
A230958 | A000523 | PM | 0.228571428571429 | 0
A000196 | A000290 | 0F | 0.196078431372549 | 0
A002378 | A000194 | PM | 0.520408163265306 | 0.724832214765101
A001018 | A048766 | PM | 0.238095238095238 | 0
A018238 | A060455 | 0T | 0.194444444444444 | 0
A018238 | A172033 | 0T | 0.102941176470588 | 0
A018238 | A005708 | 0T | 0.12962962962963 | 0
A018238 | A058364 | 0T | 0.132075471698113 | 0
A018238 | A000383 | 0T | 0.189189189189189 | 0
A018238 | A005710 | 0T | 0.125 | 0
A018238 | A058366 | 0T | 0.14 | 0
A018238 | A206244 | 0T | 0.0813953488372093 | 0
A018238 | A005709 | 0T | 0.142857142857143 | 0
A018238 | A055642 | 0T | 0.0660377358490566 | 0
A018238 | A048766 | PM | 0.0666666666666667 | 0
A018238 | A058365 | 0T | 0.137254901960784 | 0
A000961 | A065515 | 0T | 0.876712328767123 | 0
A115970 | A048766 | PM | 0.180952380952381 | 0
A024088 | A048766 | 0F | 0.180952380952381 | 0
A174283 | A029837 | PM | 0.0761904761904762 | 0
A174283 | A130260 | PM | 0.0792079207920792 | 0
A034889 | A018819 | 0T | 0.0833333333333333 | 0
A034889 | A003056 | PM | 0.0617283950617284 | 0
A034889 | A027193 | PM | 0.0943396226415094 | 0
A034889 | A000523 | PM | 0.0476190476190476 | 0
A034889 | A036378 | 0T | 0.138888888888889 | 0
A034889 | A000726 | 0T | 0.0980392156862745 | 0
A034889 | A110654 | PM | 0.0657894736842105 | 0
A034889 | A011971 | 0T | 0.104166666666667 | 0
A034889 | A130259 | PM | 0.0495049504950495 | 0
A034889 | A070939 | 0T | 0.0476190476190476 | 0
A034889 | A028364 | 0T | 0.111111111111111 | 0
A034889 | A174068 | 0T | 0.0980392156862745 | 0
A034889 | A040039 | 0T | 0.0694444444444444 | 0
A034889 | A197122 | 0T | 0.0925925925925926 | 0
A034889 | A000011 | 0T | 0.125 | 0
A034889 | A033552 | 0T | 0.0806451612903226 | 0
A034889 | A008619 | 0T | 0.0666666666666667 | 0
A034889 | A005041 | 0T | 0.0641025641025641 | 0
A034889 | A004001 | 0T | 0.0666666666666667 | 0
A034889 | A059015 | 0T | 0.0757575757575758 | 0
A034889 | A000013 | 0T | 0.138888888888889 | 0
A034889 | A000194 | 0T | 0.0510204081632653 | 0
A033890 | A048766 | PM | 0.20952380952381 | 0
A134737 | A103586 | 0T | 0.23 | 0
A000737 | A130259 | PM | 0.217821782178218 | 0
A017712 | A206244 | 0T | 0.127906976744186 | 0
A017712 | A055642 | 0T | 0.10377358490566 | 0
A097476 | A000196 | PM | 0.0686274509803922 | 0
A097476 | A138194 | 0T | 0.0777777777777778 | 0
A101618 | A091194 | PM | 0.0697674418604651 | 0
A101618 | A054360 | PM | 0.24 | 0
A101618 | A001419 | PM | 0.230769230769231 | 0
A101618 | A059995 | PM | 0.058252427184466 | 0
A005180 | A036234 | 0T | 0.8 | 0
A008793 | A040000 | 0T | 0.114285714285714 | 0
A121231 | A040000 | 0T | 0.0761904761904762 | 0
A070941 | A008859 | 0T | 0.222222222222222 | 0
A070941 | A008861 | 0T | 0.235294117647059 | 0
A070941 | A008863 | 0T | 0.228571428571429 | 0
A070941 | A131577 | PM | 0.228571428571429 | 0.7890625
A070941 | A008862 | 0T | 0.235294117647059 | 0
A070941 | A008860 | 0T | 0.228571428571429 | 0
A070941 | A000079 | 0T | 0.235294117647059 | 0
A002439 | A206244 | 0T | 0.13953488372093 | 0
A049453 | A048766 | 0F | 0.40952380952381 | 0
A102910 | A061866 | PM | 0.037037037037037 | 0
A102910 | A000785 | PM | 0.0540540540540541 | 0
A102910 | A174285 | PM | 0.25 | 0
A102910 | A024495 | PM | 0.0571428571428571 | 0
A102910 | A030228 | PM | 0.0909090909090909 | 0
A102910 | A002620 | PM | 0.0344827586206897 | 0
A102910 | A006765 | PM | 0.0625 | 0
A102910 | A006746 | PM | 0.0714285714285714 | 0
A102910 | A006645 | PM | 0.0689655172413793 | 0
A102910 | A008794 | PM | 0.04 | 0
A102910 | A007590 | PM | 0.037037037037037 | 0
A102910 | A000599 | PM | 0.0645161290322581 | 0
A102910 | A000332 | PM | 0.0454545454545455 | 0
A102910 | A002574 | PM | 0.05 | 0
A102910 | A011371 | PM | 0.0273972602739726 | 0
A102910 | A016098 | PM | 0.08 | 0
A102910 | A002264 | PM | 0.0263157894736842 | 0
A102910 | A033437 | PM | 0.0350877192982456 | 0
A102910 | A002469 | PM | 0.0909090909090909 | 0
A102910 | A008233 | PM | 0.0408163265306122 | 0
A102910 | A210569 | PM | 0.0512820512820513 | 0
A102910 | A065855 | PM | 0.0266666666666667 | 0
A102910 | A091194 | PM | 0.0232558139534884 | 0
A102910 | A052875 | PM | 0.0909090909090909 | 0
A102910 | A006011 | PM | 0.0526315789473684 | 0
A102910 | A000295 | PM | 0.0588235294117647 | 0
A102910 | A052762 | PM | 0.0571428571428571 | 0
A102910 | A072000 | PM | 0.025974025974026 | 0
A102910 | A216499 | PM | 0.0434782608695652 | 0
A102910 | A001629 | PM | 0.0526315789473684 | 0
A102910 | A243348 | PM | 0.0273972602739726 | 0
A102910 | A038107 | PM | 0.0338983050847458 | 0
A102910 | A052823 | PM | 0.0540540540540541 | 0
A102910 | A007531 | PM | 0.0465116279069767 | 0
A102910 | A000773 | PM | 0.0571428571428571 | 0
A102910 | A006749 | PM | 0.0714285714285714 | 0
A102910 | A133111 | PM | 0.0645161290322581 | 0
A102910 | A002662 | PM | 0.0588235294117647 | 0
A102910 | A110533 | PM | 0.0317460317460317 | 0
A102910 | A118302 | PM | 0.0344827586206897 | 0
A102910 | A004526 | PM | 0.027027027027027 | 0
