A080814 | 6 | A060455 | 6 | 35 | 0T | 0.194444444444444
A080814 | 6 | A172033 | 6 | 67 | 0T | 0.102941176470588
A080814 | 6 | A005708 | 6 | 53 | 0T | 0.12962962962963
A080814 | 6 | A058364 | 6 | 52 | 0T | 0.132075471698113
A080814 | 6 | A000383 | 6 | 36 | 0T | 0.189189189189189
A080814 | 6 | A005710 | 6 | 55 | 0T | 0.125
A080814 | 6 | A058366 | 6 | 49 | 0T | 0.14
A080814 | 6 | A206244 | 6 | 85 | 0T | 0.0813953488372093
A080814 | 6 | A005709 | 6 | 48 | 0T | 0.142857142857143
A080814 | 6 | A055642 | 6 | 105 | 0T | 0.0660377358490566
A080814 | 6 | A048766 | 6 | 104 | PM | 0.0666666666666667
A080814 | 6 | A058365 | 6 | 50 | 0T | 0.137254901960784
A000124 | 52 | A002024 | 52 | 83 | 0T | 0.630952380952381
A131284 | 4 | A091194 | 4 | 85 | PM | 0.0581395348837209
A131284 | 4 | A110533 | 4 | 62 | PM | 0.0793650793650794
A131284 | 4 | A054360 | 4 | 24 | PM | 0.2
A131284 | 4 | A001419 | 4 | 25 | PM | 0.192307692307692
A131284 | 4 | A002266 | 4 | 82 | PM | 0.0602409638554217
A131284 | 4 | A059995 | 4 | 102 | PM | 0.0485436893203883
A094268 | 3 | A000055 | 3 | 36 | PM | 0.108108108108108
A094268 | 3 | A118301 | 3 | 57 | PM | 0.0689655172413793
A094268 | 3 | A000048 | 3 | 37 | PM | 0.105263157894737
A094268 | 3 | A000628 | 3 | 38 | PM | 0.102564102564103
A094268 | 3 | A000322 | 3 | 34 | PM | 0.114285714285714
A094268 | 3 | A060455 | 3 | 35 | PM | 0.111111111111111
A094268 | 3 | A058367 | 3 | 48 | PM | 0.0816326530612245
A094268 | 3 | A007827 | 3 | 29 | PM | 0.133333333333333
A094268 | 3 | A008282 | 3 | 46 | PM | 0.0851063829787234
A094268 | 3 | A006206 | 3 | 41 | PM | 0.0952380952380952
A094268 | 3 | A172033 | 3 | 67 | PM | 0.0588235294117647
A094268 | 3 | A005708 | 3 | 53 | PM | 0.0740740740740741
A094268 | 3 | A003269 | 3 | 48 | 0F | 0.0816326530612245
A094268 | 3 | A006966 | 3 | 19 | PM | 0.2
A094268 | 3 | A006982 | 3 | 49 | PM | 0.08
A094268 | 3 | A000602 | 3 | 32 | PM | 0.121212121212121
A094268 | 3 | A187243 | 3 | 79 | PM | 0.05
A094268 | 3 | A058364 | 3 | 52 | PM | 0.0754716981132075
A094268 | 3 | A000383 | 3 | 36 | PM | 0.108108108108108
A094268 | 3 | A005710 | 3 | 55 | PM | 0.0714285714285714
A094268 | 3 | A034886 | 3 | 71 | PM | 0.0555555555555556
A094268 | 3 | A190718 | 3 | 51 | PM | 0.0769230769230769
A094268 | 3 | A058366 | 3 | 49 | PM | 0.08
A094268 | 3 | A206244 | 3 | 85 | PM | 0.0465116279069767
A094268 | 3 | A000288 | 3 | 34 | PM | 0.114285714285714
A094268 | 3 | A038503 | 3 | 32 | PM | 0.121212121212121
A094268 | 3 | A005709 | 3 | 48 | PM | 0.0816326530612245
A094268 | 3 | A068980 | 3 | 70 | PM | 0.0563380281690141
A094268 | 3 | A055642 | 3 | 105 | PM | 0.0377358490566038
A094268 | 3 | A048766 | 3 | 104 | 0F | 0.0380952380952381
A094268 | 3 | A137588 | 3 | 85 | 0F | 0.0465116279069767
A094268 | 3 | A058365 | 3 | 50 | PM | 0.0784313725490196
A094268 | 3 | A058368 | 3 | 45 | PM | 0.0869565217391304
A094268 | 3 | A003520 | 3 | 50 | PM | 0.0784313725490196
A094268 | 3 | A139398 | 3 | 35 | PM | 0.111111111111111
A094268 | 3 | A006981 | 3 | 24 | PM | 0.16
A094268 | 3 | A026838 | 3 | 53 | 0F | 0.0740740740740741
A003095 | 10 | A103586 | 10 | 99 | PM | 0.11
A127955 | 9 | A091194 | 9 | 85 | PM | 0.116279069767442
A127955 | 9 | A059995 | 9 | 102 | PM | 0.0970873786407767
A225186 | 15 | A091194 | 15 | 85 | PM | 0.186046511627907
A053657 | 16 | A040000 | 16 | 104 | 0T | 0.161904761904762
A008859 | 35 | A029837 | 35 | 104 | PM | 0.342857142857143
A001110 | 15 | A040000 | 15 | 104 | PM | 0.152380952380952
A002024 | 83 | A000217 | 12 | 53 | PM | 0.240740740740741
A135650 | 6 | A091194 | 6 | 85 | PM | 0.0813953488372093
A135650 | 6 | A059995 | 6 | 102 | PM | 0.0679611650485437
A084329 | 16 | A040000 | 16 | 104 | PM | 0.161904761904762
A127961 | 14 | A055642 | 14 | 105 | 0T | 0.141509433962264
A025739 | 54 | A002024 | 54 | 83 | 0T | 0.654761904761905
A001906 | 30 | A130260 | 30 | 100 | 0F | 0.306930693069307
A122216 | 8 | A130260 | 8 | 100 | PM | 0.0891089108910891
A013928 | 75 | A005117 | 46 | 70 | PM | 0.661971830985916
A061017 | 76 | A006218 | 23 | 59 | PM | 0.4
A216345 | 68 | A156253 | 68 | 73 | 0T | 0.932432432432432
A153318 | 19 | A055642 | 19 | 105 | 0T | 0.188679245283019
A000460 | 22 | A055642 | 22 | 105 | 0T | 0.216981132075472
A000096 | 58 | A003056 | 58 | 80 | 0F | 0.728395061728395
A064108 | 16 | A040000 | 16 | 104 | PM | 0.161904761904762
A002281 | 19 | A048766 | 19 | 104 | 0F | 0.19047619047619
A127235 | 6 | A000196 | 6 | 101 | PM | 0.0686274509803922
A127235 | 6 | A138194 | 6 | 89 | 0T | 0.0777777777777778
A091406 | 10 | A206244 | 10 | 85 | 0T | 0.127906976744186
A091406 | 10 | A055642 | 10 | 105 | 0T | 0.10377358490566
A001045 | 34 | A130253 | 34 | 99 | PM | 0.35
A001045 | 34 | A130250 | 34 | 100 | 0F | 0.346534653465347
A100706 | 11 | A206244 | 11 | 85 | 0T | 0.13953488372093
A127962 | 8 | A091194 | 8 | 85 | PM | 0.104651162790698
A127962 | 8 | A059995 | 8 | 102 | PM | 0.087378640776699
A062838 | 38 | A048766 | 38 | 104 | PM | 0.371428571428571
A122367 | 27 | A130255 | 27 | 99 | 0T | 0.28
A055588 | 27 | A130260 | 27 | 100 | PM | 0.277227722772277
A230958 | 23 | A000523 | 23 | 104 | PM | 0.228571428571429
A000196 | 101 | A000290 | 9 | 50 | 0F | 0.196078431372549
A002378 | 50 | A000194 | 50 | 97 | PM | 0.520408163265306
A001018 | 24 | A048766 | 24 | 104 | PM | 0.238095238095238
A018238 | 6 | A060455 | 6 | 35 | 0T | 0.194444444444444
A018238 | 6 | A172033 | 6 | 67 | 0T | 0.102941176470588
A018238 | 6 | A005708 | 6 | 53 | 0T | 0.12962962962963
A018238 | 6 | A058364 | 6 | 52 | 0T | 0.132075471698113
A018238 | 6 | A000383 | 6 | 36 | 0T | 0.189189189189189
A018238 | 6 | A005710 | 6 | 55 | 0T | 0.125
A018238 | 6 | A058366 | 6 | 49 | 0T | 0.14
A018238 | 6 | A206244 | 6 | 85 | 0T | 0.0813953488372093
A018238 | 6 | A005709 | 6 | 48 | 0T | 0.142857142857143
A018238 | 6 | A055642 | 6 | 105 | 0T | 0.0660377358490566
A018238 | 6 | A048766 | 6 | 104 | PM | 0.0666666666666667
A018238 | 6 | A058365 | 6 | 50 | 0T | 0.137254901960784
A000961 | 63 | A065515 | 63 | 72 | 0T | 0.876712328767123
A115970 | 18 | A048766 | 18 | 104 | PM | 0.180952380952381
A024088 | 18 | A048766 | 18 | 104 | 0F | 0.180952380952381
A174283 | 7 | A029837 | 7 | 104 | PM | 0.0761904761904762
A174283 | 7 | A130260 | 7 | 100 | PM | 0.0792079207920792
A034889 | 4 | A018819 | 4 | 59 | 0T | 0.0833333333333333
A034889 | 4 | A003056 | 4 | 80 | PM | 0.0617283950617284
A034889 | 4 | A027193 | 4 | 52 | PM | 0.0943396226415094
A034889 | 4 | A000523 | 4 | 104 | PM | 0.0476190476190476
A034889 | 4 | A036378 | 4 | 35 | 0T | 0.138888888888889
A034889 | 4 | A000726 | 4 | 50 | 0T | 0.0980392156862745
A034889 | 4 | A110654 | 4 | 75 | PM | 0.0657894736842105
A034889 | 4 | A011971 | 4 | 47 | 0T | 0.104166666666667
A034889 | 4 | A130259 | 4 | 100 | PM | 0.0495049504950495
A034889 | 4 | A070939 | 4 | 104 | 0T | 0.0476190476190476
A034889 | 4 | A028364 | 4 | 44 | 0T | 0.111111111111111
A034889 | 4 | A174068 | 4 | 50 | 0T | 0.0980392156862745
A034889 | 4 | A040039 | 4 | 71 | 0T | 0.0694444444444444
A034889 | 4 | A197122 | 4 | 53 | 0T | 0.0925925925925926
A034889 | 4 | A000011 | 4 | 39 | 0T | 0.125
A034889 | 4 | A033552 | 4 | 61 | 0T | 0.0806451612903226
A034889 | 4 | A008619 | 4 | 74 | 0T | 0.0666666666666667
A034889 | 4 | A005041 | 4 | 77 | 0T | 0.0641025641025641
A034889 | 4 | A004001 | 4 | 74 | 0T | 0.0666666666666667
A034889 | 4 | A059015 | 4 | 65 | 0T | 0.0757575757575758
A034889 | 4 | A000013 | 4 | 35 | 0T | 0.138888888888889
A034889 | 4 | A000194 | 4 | 97 | 0T | 0.0510204081632653
A033890 | 21 | A048766 | 21 | 104 | PM | 0.20952380952381
A134737 | 22 | A103586 | 22 | 99 | 0T | 0.23
A000737 | 21 | A130259 | 21 | 100 | PM | 0.217821782178218
A017712 | 10 | A206244 | 10 | 85 | 0T | 0.127906976744186
A017712 | 10 | A055642 | 10 | 105 | 0T | 0.10377358490566
A097476 | 6 | A000196 | 6 | 101 | PM | 0.0686274509803922
A097476 | 6 | A138194 | 6 | 89 | 0T | 0.0777777777777778
