A000124 | A002024 | 0T | 0.630952380952381 | 0 | RhsMatch A014132 | 0.797619047619048
A131284 | A059995 | PM | 0.0485436893203883 | 0 | RhsMatch A020753 | 0.145631067961165
A127955 | A059995 | PM | 0.0970873786407767 | 0 | RhsMatch A020753 | 0.145631067961165
A002024 | A000217 | PM | 0.240740740740741 | 0.702898550724638 | LhsMatch A014132 | 0.797619047619048
A002024 | A000217 | PM | 0.240740740740741 | 0.702898550724638 | RhsMatch A000217 | 1
A135650 | A059995 | PM | 0.0679611650485437 | 0 | RhsMatch A020753 | 0.145631067961165
A025739 | A002024 | 0T | 0.654761904761905 | 0 | RhsMatch A014132 | 0.797619047619048
A000096 | A003056 | 0F | 0.728395061728395 | 0 | LhsMatch A034856 | 0.898305084745763
A127235 | A000196 | PM | 0.0686274509803922 | 0 | RhsMatch A078358 | 0.647058823529412
A127962 | A059995 | PM | 0.087378640776699 | 0 | RhsMatch A020753 | 0.145631067961165
A000196 | A000290 | 0F | 0.196078431372549 | 0 | LhsMatch A078358 | 0.647058823529412
A002378 | A000194 | PM | 0.520408163265306 | 0.724832214765101 | LhsMatch A000290 | 1
A002378 | A000194 | PM | 0.520408163265306 | 0.724832214765101 | RhsMatch A000037 | 0.918367346938776
A034889 | A110654 | PM | 0.0657894736842105 | 0 | RhsMatch A032766 | 0.921052631578947
A034889 | A008619 | 0T | 0.0666666666666667 | 0 | RhsMatch A007494 | 0.96
A034889 | A000194 | 0T | 0.0510204081632653 | 0 | RhsMatch A000037 | 0.918367346938776
A097476 | A000196 | PM | 0.0686274509803922 | 0 | RhsMatch A078358 | 0.647058823529412
A101618 | A059995 | PM | 0.058252427184466 | 0 | RhsMatch A020753 | 0.145631067961165
A102910 | A002620 | PM | 0.0344827586206897 | 0 | RhsMatch A087811 | 0.982758620689655
A102910 | A007590 | PM | 0.037037037037037 | 0 | RhsMatch A000982 | 1
A102910 | A000295 | PM | 0.0588235294117647 | 0 | RhsMatch A131577 | 0.971428571428571
A102910 | A000295 | PM | 0.0588235294117647 | 0 | RhsMatch A000079 | 1
A102910 | A243348 | PM | 0.0273972602739726 | 0 | RhsMatch A005117 | 0.972602739726027
A102910 | A004526 | PM | 0.027027027027027 | 0 | RhsMatch A001651 | 0.945945945945946
A102910 | A007290 | PM | 0.0465116279069767 | 0 | RhsMatch A086514 | 0.977272727272727
A102910 | A059995 | PM | 0.0194174757281553 | 0 | RhsMatch A020753 | 0.145631067961165
A096954 | A059995 | PM | 0.0679611650485437 | 0 | RhsMatch A020753 | 0.145631067961165
A000523 | A000225 | 0F | 0.181818181818182 | 0 | RhsMatch A006127 | 0.970588235294118
A003056 | A000217 | 0F | 0.222222222222222 | 0 | RhsMatch A000217 | 1
A174284 | A000194 | 0T | 0.0816326530612245 | 0 | RhsMatch A000037 | 0.918367346938776
A000225 | A029837 | 0F | 0.314285714285714 | 0 | LhsMatch A006127 | 0.970588235294118
A125149 | A074286 | PM | 0.0714285714285714 | 0 | RhsMatch A054353 | 0.942857142857143
A100772 | A000194 | 0T | 0.0816326530612245 | 0 | RhsMatch A000037 | 0.918367346938776
A050536 | A059995 | PM | 0.0679611650485437 | 0 | RhsMatch A020753 | 0.145631067961165
A000217 | A002024 | PM | 0.642857142857143 | 0.702898550724638 | LhsMatch A000217 | 1
A000217 | A002024 | PM | 0.642857142857143 | 0.702898550724638 | RhsMatch A014132 | 0.797619047619048
A247328 | A110654 | PM | 0.828947368421053 | 0.820143884892086 | RhsMatch A032766 | 0.921052631578947
A247328 | A008619 | 0T | 0.84 | 0 | RhsMatch A007494 | 0.96
A040000 | A115384 | PM | 0.0263157894736842 | 0 | RhsMatch A026430 | 0.828947368421053
A040000 | A001477 | PM | 0.0256410256410256 | 0 | RhsMatch A005408 | 0.846153846153846
A040000 | A001477 | PM | 0.0256410256410256 | 0 | RhsMatch A247328 | 0.807692307692308
A040000 | A001477 | PM | 0.0256410256410256 | 0 | RhsMatch A176271 | 0.846153846153846
A040000 | A000196 | PM | 0.0196078431372549 | 0 | RhsMatch A078358 | 0.647058823529412
A040000 | A001924 | PM | 0.0526315789473684 | 0 | RhsMatch A001911 | 0.973684210526316
A040000 | A000217 | PM | 0.037037037037037 | 0 | RhsMatch A000217 | 1
A040000 | A167875 | 0T | 0.0465116279069767 | 0 | RhsMatch A033547 | 0.955555555555556
A040000 | A002024 | 0T | 0.0238095238095238 | 0 | RhsMatch A014132 | 0.797619047619048
A040000 | A110654 | PM | 0.0263157894736842 | 0 | RhsMatch A032766 | 0.921052631578947
A040000 | A000292 | PM | 0.0444444444444444 | 0 | RhsMatch A004006 | 0.978260869565217
A040000 | A074286 | PM | 0.0285714285714286 | 0 | RhsMatch A054353 | 0.942857142857143
A040000 | A087811 | 0T | 0.0350877192982456 | 0 | RhsMatch A014616 | 0.982456140350877
A040000 | A002061 | 0T | 0.0377358490566038 | 0 | RhsMatch A059100 | 0.943396226415094
A040000 | A000225 | PM | 0.0606060606060606 | 0 | RhsMatch A006127 | 0.970588235294118
A040000 | A109613 | 0T | 0.0273972602739726 | 0 | RhsMatch A042964 | 0.876712328767123
A040000 | A016777 | 0T | 0.0317460317460317 | 0 | RhsMatch A016825 | 0.936507936507937
A040000 | A008619 | 0T | 0.0266666666666667 | 0 | RhsMatch A007494 | 0.96
A040000 | A000384 | PM | 0.0408163265306122 | 0 | RhsMatch A058331 | 0.938775510204082
A040000 | A000027 | 0T | 0.025974025974026 | 0 | RhsMatch A005843 | 0.792207792207792
A040000 | A000194 | 0T | 0.0204081632653061 | 0 | RhsMatch A000037 | 0.918367346938776
A040000 | A000201 | 0T | 0.0294117647058824 | 0 | RhsMatch A001950 | 0.882352941176471
A040000 | A006578 | PM | 0.0377358490566038 | 0 | RhsMatch A077043 | 0.981132075471698
A040000 | A002522 | 0T | 0.0392156862745098 | 0 | RhsMatch A014206 | 1
A003827 | A074286 | PM | 0.0714285714285714 | 0 | RhsMatch A054353 | 0.942857142857143
A116536 | A000194 | 0T | 0.0714285714285714 | 0 | RhsMatch A000037 | 0.918367346938776
A004526 | A005843 | 0F | 0.59016393442623 | 0 | LhsMatch A001651 | 0.945945945945946
A004526 | A005843 | 0F | 0.59016393442623 | 0 | RhsMatch A016777 | 0.968253968253968
A025732 | A002024 | 0T | 0.654761904761905 | 0 | RhsMatch A014132 | 0.797619047619048
A092840 | A243348 | PM | 0.0547945205479452 | 0 | RhsMatch A005117 | 0.972602739726027
A110654 | A005408 | PM | 0.575757575757576 | 0.802816901408451 | LhsMatch A032766 | 0.921052631578947
A110654 | A247328 | PM | 0.603174603174603 | 0.820143884892086 | LhsMatch A032766 | 0.921052631578947
A110654 | A176271 | PM | 0.575757575757576 | 0.802816901408451 | LhsMatch A032766 | 0.921052631578947
A014117 | A074286 | PM | 0.0714285714285714 | 0 | RhsMatch A054353 | 0.942857142857143
A001477 | A001477 | 0F | 0.987179487179487 | 0 | LhsMatch A005408 | 0.846153846153846
A001477 | A001477 | 0F | 0.987179487179487 | 0 | LhsMatch A247328 | 0.807692307692308
A001477 | A001477 | 0F | 0.987179487179487 | 0 | LhsMatch A176271 | 0.846153846153846
A001477 | A001477 | 0F | 0.987179487179487 | 0 | RhsMatch A005408 | 0.846153846153846
A001477 | A001477 | 0F | 0.987179487179487 | 0 | RhsMatch A247328 | 0.807692307692308
A001477 | A001477 | 0F | 0.987179487179487 | 0 | RhsMatch A176271 | 0.846153846153846
A001477 | A000027 | PM | 1 | 1 | LhsMatch A005408 | 0.846153846153846
A001477 | A000027 | PM | 1 | 1 | LhsMatch A247328 | 0.807692307692308
A001477 | A000027 | PM | 1 | 1 | LhsMatch A176271 | 0.846153846153846
A001477 | A000027 | PM | 1 | 1 | RhsMatch A005843 | 0.792207792207792
A113311 | A110654 | PM | 0.0526315789473684 | 0 | RhsMatch A032766 | 0.921052631578947
A113311 | A008619 | 0T | 0.0533333333333333 | 0 | RhsMatch A007494 | 0.96
A113311 | A000194 | 0T | 0.0408163265306122 | 0 | RhsMatch A000037 | 0.918367346938776
A115384 | A000069 | PM | 0.584615384615385 | 0.815602836879433 | LhsMatch A026430 | 0.828947368421053
A101619 | A059995 | PM | 0.0485436893203883 | 0 | RhsMatch A020753 | 0.145631067961165
A019434 | A243348 | PM | 0.0684931506849315 | 0 | RhsMatch A005117 | 0.972602739726027
A000069 | A115384 | PM | 0.855263157894737 | 0.815602836879433 | RhsMatch A026430 | 0.828947368421053
A117293 | A059995 | PM | 0.087378640776699 | 0 | RhsMatch A020753 | 0.145631067961165
A005408 | A110654 | PM | 0.868421052631579 | 0.802816901408451 | RhsMatch A032766 | 0.921052631578947
A005408 | A008619 | 0T | 0.88 | 0 | RhsMatch A007494 | 0.96
A005843 | A110654 | 0F | 0.802631578947368 | 0 | LhsMatch A016777 | 0.968253968253968
A005843 | A110654 | 0F | 0.802631578947368 | 0 | RhsMatch A032766 | 0.921052631578947
A005843 | A008619 | PM | 0.813333333333333 | 0.830882352941177 | LhsMatch A016777 | 0.968253968253968
A005843 | A008619 | PM | 0.813333333333333 | 0.830882352941177 | RhsMatch A007494 | 0.96
A087315 | A000196 | PM | 0.0882352941176471 | 0 | RhsMatch A078358 | 0.647058823529412
A005563 | A000196 | 0F | 0.5 | 0 | RhsMatch A078358 | 0.647058823529412
A000027 | A001477 | PM | 0.987179487179487 | 1 | LhsMatch A005843 | 0.792207792207792
A000027 | A001477 | PM | 0.987179487179487 | 1 | RhsMatch A005408 | 0.846153846153846
A000027 | A001477 | PM | 0.987179487179487 | 1 | RhsMatch A247328 | 0.807692307692308
A000027 | A001477 | PM | 0.987179487179487 | 1 | RhsMatch A176271 | 0.846153846153846
A050909 | A059995 | PM | 0.0679611650485437 | 0 | RhsMatch A020753 | 0.145631067961165
A245894 | A074286 | PM | 0.0714285714285714 | 0 | RhsMatch A054353 | 0.942857142857143
A176271 | A110654 | PM | 0.868421052631579 | 0.802816901408451 | RhsMatch A032766 | 0.921052631578947
A176271 | A008619 | 0T | 0.88 | 0 | RhsMatch A007494 | 0.96
A008619 | A005843 | PM | 0.622950819672131 | 0.830882352941177 | LhsMatch A007494 | 0.96
A008619 | A005843 | PM | 0.622950819672131 | 0.830882352941177 | RhsMatch A016777 | 0.968253968253968
A000194 | A002378 | PM | 0.196078431372549 | 0.724832214765101 | LhsMatch A000037 | 0.918367346938776
A000194 | A002378 | PM | 0.196078431372549 | 0.724832214765101 | RhsMatch A000290 | 1
