Query Results (1465 answers): 
x       | y                                
===========================================
A006497 | N.J.A.Sloane                     
A000124 | N.J.A.Sloane                     
A018252 | N.J.A.Sloane                     
A029578 | N.J.A.Sloane                     
A007245 | N.J.A.Sloane                     
A033547 | WolfdieterLang                   
A006037 | N.J.A.Sloane                     
A008280 | N.J.A.Sloane                     
A006894 | N.J.A.Sloane                     
A034891 | WouterMeeussen                   
A000109 | N.J.A.Sloane                     
A006749 | N.J.A.Sloane                     
A054359 | JoeKeane                         
A002616 | N.J.A.Sloane                     
A000058 | N.J.A.Sloane                     
A000272 | N.J.A.Sloane                     
A024036 | N.J.A.Sloane                     
A038279 | N.J.A.Sloane                     
A038255 | N.J.A.Sloane                     
A027656 | N.J.A.Sloane                     
A001826 | N.J.A.Sloane                     
A008276 | N.J.A.Sloane                     
A002083 | N.J.A.Sloane                     
A004111 | N.J.A.Sloane                     
A003018 | N.J.A.Sloane                     
A003319 | N.J.A.Sloane                     
A024916 | ClarkKimberling                  
A035250 | ErichFriedman                    
A005638 | N.J.A.Sloane                     
A047996 | N.J.A.Sloane                     
A013595 | N.J.A.Sloane                     
A001228 | N.J.A.Sloane                     
A004598 | N.J.A.Sloane                     
A005001 | N.J.A.Sloane                     
A051731 | KlausStrassburger                
A003983 | MarcLeBrun                       
A109814 | DavidW.Wilson                    
A003462 | N.J.A.Sloane                     
A016754 | N.J.A.Sloane                     
A007460 | N.J.A.Sloane                     
A000302 | N.J.A.Sloane                     
A051950 | AsherAuel                        
A047974 | N.J.A.Sloane                     
A039701 | ClarkKimberling                  
A010052 | N.J.A.Sloane                     
A038315 | N.J.A.Sloane                     
A005649 | SimonPlouffe                     
A027751 | N.J.A.Sloane                     
A000400 | N.J.A.Sloane                     
A004594 | N.J.A.Sloane                     
A007317 | MiraBernstein                    
A047884 | WouterMeeussen                   
A000312 | N.J.A.Sloane                     
A051624 | BarryE.Williams                  
A000588 | N.J.A.Sloane                     
A007178 | DonKnuth                         
A047969 | N.J.A.Sloane                     
A015371 | OlivierGA(c)rard                 
A034091 | J.Lowell                         
A002868 | N.J.A.Sloane                     
A001168 | N.J.A.Sloane                     
A005419 | N.J.A.Sloane                     
A001034 | SimonPlouffe                     
A045943 | R.K.Guy                          
A049452 | JoeKeane                         
A001108 | N.J.A.Sloane                     
A038110 | WouterMeeussen                   
A006747 | N.J.A.Sloane                     
A014200 | N.J.A.Sloane                     
